レセプト電算処理システムコード,薬価基準収載医薬品コード,レセプト電算処理システム医薬品名
610406001,3222013F1033,アイロミア錠　鉄５０ｍｇ
610406002,2123014F2015,アストニール錠　１０ｍｇ
610406002,2123014F2031,アストニール錠　１０ｍｇ
610406003,2229112F1025,アストモリジンＭ錠
610406004,2229112H2022,アストモリジンＤ錠
610406005,2325001F1017,アスメジン錠　２００ｍｇ
610406005,2325001F1297,アスメジン錠　２００ｍｇ
610406005,2325001F1351,アスメジン錠　２００ｍｇ
610406006,2249003Q1030,アスワートシロップ　０．５％
610406008,4490004F2010,アゼピット錠１ｍｇ
610406008,4490004F2044,アゼピット錠１ｍｇ
610406009,2123014F2015,アセメール錠　１０ｍｇ
610406009,2123014F2040,アセメール錠　１０ｍｇ
610406012,2171014C1036,アテネラート細粒　１％
610406013,4490004F2010,アドメッセン錠１ｍｇ
610406013,4490004F2060,アドメッセン錠１ｍｇ
610406015,2123014F2015,アナシロール錠　１０ｍｇ
610406015,2123014F2058,アナシロール錠１０　１０ｍｇ
610406019,2123014F2015,アモプソール錠　１０ｍｇ
610406020,3112004M1015,アルカルロールカプセル０．２５　０．２５μｇ
610406021,3112004M2011,アルカルロールカプセル０．５　０．５μｇ
610406022,1149026F2010,アルセロジン錠２００
610406022,1149026F2044,アルセロジン錠２００
610406025,3112001B4028,アルファロール散　１μｇ
610406027,1249008F1010,アロストーワ錠　２０ｍｇ
610406027,1249008F1150,アロストーワ錠　２０ｍｇ
610406027,1249008F1193,アロストーワ錠　２０ｍｇ
610406028,2123014F2015,アロチノイル錠　１０ｍｇ
610406028,2123014F2074,アロチノイル錠　１０ｍｇ
610406029,2123014F2015,アロチノル錠　１０ｍｇ
610406029,2123014F2082,アロチノル錠　１０ｍｇ
610406030,2123014F2015,アロチノン錠　１０ｍｇ
610406030,2123014F2090,アロチノン錠　１０ｍｇ
610406030,2123014F2163,アロチノン錠　１０ｍｇ
610406032,2123014F2015,アンブロス錠　１０ｍｇ
610406033,2239001C2025,アンブロン細粒　３％
610406034,1249008F1010,アンメトロン錠　２０ｍｇ
610406034,1249008F1169,アンメトロン錠　２０ｍｇ
610406035,2189008C1019,イエスタミン細粒　５０％
610406035,2189008C1086,イエスタミン細粒　５０％
610406035,2189008C1124,イエスタミン細粒　５０％
610406036,4223002H1054,イカルスＥ錠　２００ｍｇ
610406039,1149026F2010,イナミジン錠　２００ｍｇ
610406039,1149026F2052,イナミジン錠　２００ｍｇ
610406042,3949101A1033,ウタゲンーＵ
610406044,2590004F1010,ウテメック錠　５ｍｇ
610406045,2590004F1010,ウテメナール錠　５ｍｇ
610406047,2590004F1010,ウテロン錠５ｍｇ
610406048,2590004F1010,ウルペティック錠　５ｍｇ
610406048,2590004F1087,ウルペティック錠　５ｍｇ
610406050,2325001F2013,エスメラルダ錠　４００ｍｇ
610406050,2325001F2056,エスメラルダ錠　４００ｍｇ
610406051,1179025F1158,エチゾラン錠　０．５ｍｇ
610406051,1179025F1204,エチゾラン錠　０．５ｍｇ
