管理番号,レセ電算名称,レセ電算コード,診療報酬点数表コード（Kコード）,ICD9CMコードの複数対応,ICD9CMコード1,ICD9CMコード2,ICD9CMコード3,ICD9CMコード4,ICD9CMコード5,細分類の有無,9CM用細分類数,9CM用細分類1,9CM用細分類2,9CM用細分類3,9CM用細分類4,9CM用細分類5,9CM用細分類6,9CM用細分類7,9CM用細分類8,9CM用細分類9,9CM用細分類10,9CM用細分類11,9CM用細分類12,9CM用細分類13,9CM用細分類14,9CM用細分類15,r_9CM_Ver,予備項目1,変更区分
36262,末梢留置型中心静脈注射用カテーテル挿入,130011610,G005-03,u,-,,,,,,,,,,,,,,,,,,,,,,20120401,,1.0
36263,末梢留置型中心静脈注射用カテーテル挿入（乳幼児）加算,130011770,G005-03,u,-,,,,,,,,,,,,,,,,,,,,,,20120401,,1.0
36264,カフ型緊急時ブラッドアクセス用留置カテーテル挿入,130011810,G005-04,u,-,,,,,,,,,,,,,,,,,,,,,,20120401,,1.0
36265,カフ型緊急時ブラッドアクセス用留置カテーテル挿入（乳幼児）加算,130011970,G005-04,u,-,,,,,,,,,,,,,,,,,,,,,,20120401,,1.0
30384,硝子体内注射,130012010,G016-00,,1479,,,,,,,,,,,,,,,,,,,,,,20120401,,1.0
36266,無菌製剤処理料１（閉鎖式接続器具使用）（（１）以外）,130012110,G020-00,u,-,,,,,,,,,,,,,,,,,,,,,,20120401,,1.0
33585,創傷処置（１００ｃｍ２未満）,140000610,J000-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
33586,創傷処置（１００ｃｍ２以上５００ｃｍ２未満）,140000710,J000-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
33587,創傷処置（５００ｃｍ２以上３０００ｃｍ２未満）,140000810,J000-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
33588,創傷処置（３０００ｃｍ２以上６０００ｃｍ２未満）,140000910,J000-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
33589,創傷処置（６０００ｃｍ２以上）,140001010,J000-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
34522,時間外加算（処置）,140000190,J000-00,u,-,,,,,,,,,,,,,,,,,,,,,,19990630,,
34523,休日加算（処置）,140000290,J000-00,u,-,,,,,,,,,,,,,,,,,,,,,,19990630,,
34524,深夜加算（処置）,140000390,J000-00,u,-,,,,,,,,,,,,,,,,,,,,,,19990630,,
34525,時間外特例加算（処置）,140000490,J000-00,u,-,,,,,,,,,,,,,,,,,,,,,,19990630,,
35159,６歳未満乳幼児加算（処置）（１００）,140031870,J000-00,u,-,,,,,,,,,,,,,,,,,,,,,,20080331,,
35774,３歳未満乳幼児加算（処置）（１００）,140049170,J000-00,u,-,,,,,,,,,,,,,,,,,,,,,,20080331,,
35776,６歳未満乳幼児加算（処置）（７５）,140049370,J000-00,u,-,,,,,,,,,,,,,,,,,,,,,,20080331,,
35777,３歳未満乳幼児加算（処置）（５０）,140049470,J000-00,u,-,,,,,,,,,,,,,,,,,,,,,,20080331,,
35789,６歳未満乳幼児加算（処置）（５０）,140050670,J000-00,u,-,,,,,,,,,,,,,,,,,,,,,,20080331,,
